epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,15741.3,0.04963,0.08991,0.89032,0.99981,0.99713,0.995,0.99475,0.15839,0.25158,0.21776,0.0009308,0.0009308,0.0009308
56,16015.6,0.0455,0.08537,0.89279,0.99985,0.99713,0.995,0.99493,0.16961,0.28522,0.22914,0.000911,0.000911,0.000911
57,16294,0.04446,0.08013,0.88929,1,0.99713,0.995,0.99488,0.13232,0.389,0.19194,0.0008912,0.0008912,0.0008912
58,16570.2,0.04407,0.07987,0.89377,1,0.99713,0.995,0.99488,0.18176,0.49433,0.23862,0.0008714,0.0008714,0.0008714
59,16848.4,0.04348,0.0819,0.89046,1,0.99713,0.995,0.99492,0.14156,0.46337,0.20583,0.0008516,0.0008516,0.0008516
60,17126.1,0.04308,0.07621,0.8883,1,0.99713,0.995,0.99479,0.13826,0.61499,0.19119,0.0008318,0.0008318,0.0008318
61,17407,0.0445,0.08222,0.88515,0.99985,0.99713,0.995,0.99477,0.17429,0.67318,0.22748,0.000812,0.000812,0.000812
62,17689.7,0.04173,0.07678,0.88957,0.99985,0.99713,0.995,0.99478,0.14816,0.53292,0.1977,0.0007922,0.0007922,0.0007922
63,17967.3,0.03973,0.07325,0.88965,0.99985,0.99713,0.995,0.99486,0.14354,0.24262,0.19356,0.0007724,0.0007724,0.0007724
64,18246.4,0.04264,0.07747,0.88306,0.99985,0.99713,0.995,0.92507,0.15145,0.74734,0.21606,0.0007526,0.0007526,0.0007526
65,18527.1,0.04133,0.07495,0.88846,0.99985,0.99713,0.995,0.99476,0.14314,0.23435,0.20121,0.0007328,0.0007328,0.0007328
66,18806,0.04117,0.07624,0.88681,1,0.99713,0.995,0.99474,0.18205,0.46023,0.23997,0.000713,0.000713,0.000713
67,19083,0.03965,0.06976,0.88979,1,0.99713,0.995,0.99474,0.20195,0.36984,0.25905,0.0006932,0.0006932,0.0006932
68,19360.3,0.04013,0.07046,0.88246,0.99985,0.99713,0.995,0.99478,0.14322,0.49253,0.1966,0.0006734,0.0006734,0.0006734
69,19639.3,0.03951,0.07502,0.88887,1,0.99713,0.995,0.99489,0.15865,0.33457,0.22484,0.0006536,0.0006536,0.0006536
70,19916.2,0.03956,0.07893,0.89088,0.99985,0.99713,0.995,0.99477,0.15986,0.26219,0.20895,0.0006338,0.0006338,0.0006338
71,20194.9,0.0395,0.07456,0.88239,1,0.99713,0.995,0.99472,0.17268,0.50222,0.22254,0.000614,0.000614,0.000614
72,20474.7,0.03944,0.07273,0.88682,1,0.99713,0.995,0.99474,0.13735,0.50942,0.17783,0.0005942,0.0005942,0.0005942
73,20748.6,0.03607,0.0685,0.89191,1,0.99713,0.995,0.99481,0.14746,0.5133,0.19833,0.0005744,0.0005744,0.0005744
74,21025.6,0.03372,0.06715,0.88382,1,0.99713,0.995,0.99474,0.15776,0.49071,0.20604,0.0005546,0.0005546,0.0005546
75,21303.1,0.03619,0.0706,0.88654,1,0.99713,0.995,0.99477,0.15825,0.34289,0.20566,0.0005348,0.0005348,0.0005348
76,21581.4,0.03466,0.06983,0.88705,1,0.99713,0.995,0.99472,0.16209,0.2748,0.21287,0.000515,0.000515,0.000515
77,21860.3,0.03509,0.0699,0.88544,1,0.99713,0.995,0.99474,0.19041,0.55186,0.24966,0.0004952,0.0004952,0.0004952
78,22135.2,0.03259,0.06733,0.88794,1,0.99713,0.995,0.99475,0.16949,0.50903,0.22039,0.0004754,0.0004754,0.0004754
79,22412.1,0.03282,0.06845,0.89026,1,0.99713,0.995,0.99493,0.16415,0.52199,0.21504,0.0004556,0.0004556,0.0004556
80,22688.1,0.03353,0.0702,0.8881,1,0.99713,0.995,0.99496,0.174,0.51956,0.22636,0.0004358,0.0004358,0.0004358
81,22966.6,0.03325,0.06729,0.89521,0.99985,0.99713,0.995,0.99477,0.14562,0.47323,0.20056,0.000416,0.000416,0.000416
82,23246.6,0.03036,0.06264,0.88826,1,0.99713,0.995,0.99475,0.14718,0.49613,0.20095,0.0003962,0.0003962,0.0003962
83,23524.7,0.02887,0.06132,0.89322,1,0.99713,0.995,0.99491,0.11708,0.24805,0.1607,0.0003764,0.0003764,0.0003764
84,23802.1,0.02887,0.06074,0.88997,0.99986,0.99713,0.995,0.99485,0.15572,0.35044,0.21079,0.0003566,0.0003566,0.0003566
85,24077.5,0.02862,0.06069,0.88809,1,0.99713,0.995,0.99476,0.12969,0.34733,0.17027,0.0003368,0.0003368,0.0003368
86,24349.4,0.02909,0.05727,0.89513,1,0.99713,0.995,0.99489,0.10028,0.45176,0.14086,0.000317,0.000317,0.000317
87,24630.1,0.02754,0.05893,0.88672,1,0.99713,0.995,0.99481,0.10148,0.43031,0.13911,0.0002972,0.0002972,0.0002972
88,24909.1,0.0258,0.05717,0.88112,1,0.99713,0.995,0.99462,0.10248,0.43733,0.1395,0.0002774,0.0002774,0.0002774
89,25194.9,0.02653,0.05733,0.89011,1,0.99713,0.995,0.99495,0.1054,0.39314,0.14121,0.0002576,0.0002576,0.0002576
90,25474.1,0.02425,0.05324,0.88935,1,0.99713,0.995,0.99495,0.11636,0.28482,0.16483,0.0002378,0.0002378,0.0002378
91,25753.6,0.03259,0.16194,0.9113,0.99985,0.99713,0.995,0.99476,0.13979,0.33515,0.18112,0.000218,0.000218,0.000218
92,26023.5,0.02479,0.03942,0.89942,1,0.99713,0.995,0.99483,0.09454,0.32575,0.12683,0.0001982,0.0001982,0.0001982
93,26295.9,0.02122,0.034,0.89504,1,0.99713,0.995,0.99481,0.11912,0.44861,0.16693,0.0001784,0.0001784,0.0001784
94,26569.3,0.02191,0.03487,0.90149,1,0.99713,0.995,0.99495,0.1403,0.55714,0.18442,0.0001586,0.0001586,0.0001586
95,26853.1,0.01893,0.0308,0.89017,1,0.99713,0.995,0.99487,0.1317,0.58072,0.17562,0.0001388,0.0001388,0.0001388
96,27134.1,0.0161,0.02639,0.89895,1,0.99713,0.995,0.99491,0.13734,0.6015,0.1842,0.000119,0.000119,0.000119
97,27409.8,0.01585,0.02594,0.89381,1,0.99713,0.995,0.99485,0.12785,0.57579,0.17247,9.92e-05,9.92e-05,9.92e-05
98,27681.1,0.01642,0.02732,0.89759,1,0.99713,0.995,0.9949,0.13048,0.58055,0.17508,7.94e-05,7.94e-05,7.94e-05
99,27956.8,0.01506,0.02475,0.89604,1,0.99713,0.995,0.99485,0.12335,0.57623,0.16787,5.96e-05,5.96e-05,5.96e-05
100,28232.5,0.01298,0.02163,0.89727,1,0.99713,0.995,0.99486,0.12689,0.59605,0.1721,3.98e-05,3.98e-05,3.98e-05
