match_id,timestamp,player_champion,opponent_champion,total_cs,opponent_total_cs,cs_per_min,gold_diff,first_10_min_cs,opponent_first_10_min_cs,win,player_cs_timeline,opponent_cs_timeline
EUW1_7357828069,2025-04-05T01:26:28.801000,Gwen,Ornn,133,221,4.898710865561695,-5242,44,68,False,"0,0,4,13,16,25,30,34,38,39,44,48,55,63,71","0,0,3,12,14,22,25,38,48,59,68,80,90,102,108"
EUW1_7357810149,2025-04-05T01:07:55.200000,Cassiopeia,Darius,89,67,7.982062780269058,845,78,60,True,"0,0,3,15,28,34,46,50,66,77,78,89,89","0,0,4,14,22,29,33,44,44,48,60,67,67"
EUW1_7357810149,2025-04-05T01:07:55.200000,Darius,Cassiopeia,67,89,6.00896860986547,-845,60,78,False,"0,0,4,14,22,29,33,44,44,48,60,67,67","0,0,3,15,28,34,46,50,66,77,78,89,89"
EUW1_7253333763,2025-01-03T17:17:29.982000,Garen,Sion,277,245,8.812301166489926,2698,80,78,True,"0,0,1,13,19,25,33,48,58,68,80,87,94,106,119","0,0,4,13,22,31,40,52,63,71,78,83,96,114,120"
EUW1_7253333763,2025-01-03T17:17:29.982000,Sion,Garen,245,277,7.794273594909862,-2698,78,80,False,"0,0,4,13,22,31,40,52,63,71,78,83,96,114,120","0,0,1,13,19,25,33,48,58,68,80,87,94,106,119"
EUW1_6872040092,2024-03-25T23:11:18.097000,Trundle,Aatrox,162,191,4.971867007672634,-3163,60,68,False,"0,0,2,6,17,20,28,36,45,51,60,69,71,76,89","0,0,3,11,13,30,36,43,50,61,68,68,78,87,87"
EUW1_6872040092,2024-03-25T23:11:18.097000,Aatrox,Trundle,191,162,5.861892583120204,3163,68,60,True,"0,0,3,11,13,30,36,43,50,61,68,68,78,87,87","0,0,2,6,17,20,28,36,45,51,60,69,71,76,89"
EUW1_6871980211,2024-03-25T22:38:32.644000,Vladimir,Garen,147,182,6.125,-4077,54,65,False,"0,0,0,10,19,27,31,33,40,43,54,63,73,78,90","0,0,0,9,19,27,33,45,49,57,65,76,87,97,109"
EUW1_6871980211,2024-03-25T22:38:32.644000,Garen,Vladimir,182,147,7.583333333333333,4077,65,54,True,"0,0,0,9,19,27,33,45,49,57,65,76,87,97,109","0,0,0,10,19,27,31,33,40,43,54,63,73,78,90"
EUW1_6869867306,2024-03-24T16:23:51.119000,Trundle,Gnar,158,111,8.081841432225064,5096,75,59,True,"0,0,0,11,19,28,40,47,56,64,75,85,91,93,101","0,0,3,15,23,31,33,44,46,54,59,64,64,79,90"
EUW1_6869867306,2024-03-24T16:23:51.119000,Gnar,Trundle,111,158,5.67774936061381,-5096,59,75,False,"0,0,3,15,23,31,33,44,46,54,59,64,64,79,90","0,0,0,11,19,28,40,47,56,64,75,85,91,93,101"
EUW1_6869810892,2024-03-24T15:47:24.877000,Garen,Nasus,198,195,6.363149437600429,-574,61,68,True,"0,0,2,13,17,26,33,33,39,50,61,68,80,91,100","0,0,1,5,14,18,23,31,45,57,68,79,82,85,96"
EUW1_6869810892,2024-03-24T15:47:24.877000,Nasus,Garen,195,198,6.26673808248527,574,68,61,False,"0,0,1,5,14,18,23,31,45,57,68,79,82,85,96","0,0,2,13,17,26,33,33,39,50,61,68,80,91,100"
EUW1_6869796701,2024-03-24T15:37:01.087000,Irelia,Smolder,0,0,0.0,0,0,0,False,"0,0,0","0,0,0"
EUW1_6869796701,2024-03-24T15:37:01.087000,Smolder,Irelia,0,0,0.0,0,0,0,True,"0,0,0","0,0,0"
EUW1_6869742395,2024-03-24T15:10:31.805000,Gragas,Riven,147,123,7.124394184168013,4480,54,45,True,"0,0,1,6,11,18,22,30,41,50,54,64,77,85,96","0,0,2,7,10,11,23,29,36,43,45,51,62,64,73"
EUW1_6869742395,2024-03-24T15:10:31.805000,Riven,Gragas,123,147,5.961227786752827,-4480,45,54,False,"0,0,2,7,10,11,23,29,36,43,45,51,62,64,73","0,0,1,6,11,18,22,30,41,50,54,64,77,85,96"
EUW1_6869734286,2024-03-24T15:04:35.574000,Viktor,Jax,2,3,0.9448818897637795,-11,2,3,False,"0,0,2,2","0,0,3,3"
EUW1_6869734286,2024-03-24T15:04:35.574000,Jax,Viktor,3,2,1.4173228346456692,11,3,2,True,"0,0,3,3","0,0,2,2"
EUW1_6869216064,2024-03-24T03:22:05.253000,Mordekaiser,Trundle,126,109,5.482233502538071,5224,64,61,True,"0,0,3,7,16,23,28,33,46,57,64,73,78,89,100","0,0,2,15,18,26,35,40,48,51,61,71,73,80,85"
EUW1_6869216064,2024-03-24T03:22:05.253000,Trundle,Mordekaiser,109,126,4.742567077592458,-5224,61,64,False,"0,0,2,15,18,26,35,40,48,51,61,71,73,80,85","0,0,3,7,16,23,28,33,46,57,64,73,78,89,100"
EUW1_6869194881,2024-03-24T02:49:11.038000,Sejuani,Jax,150,158,5.552128315854411,844,51,65,True,"0,0,1,7,19,28,30,36,37,44,51,57,66,75,86","0,0,3,15,20,28,35,48,53,56,65,70,80,90,98"
